ingredient,count
Gin,45
Light Rum,20
Triple Sec,20
Lemon Juice,19
Sugar,19
lemon,17
Powdered Sugar,17
Lemon Peel,17
Lime,15
Dry Vermouth,14
Carbonated Water,13
Amaretto,12
Vodka,12
Cherry,12
Light Cream,12
Sweet Vermouth,12
Brandy,12
Lime Juice,11
Bourbon,11
Bitters,11
Grenadine,10
Maraschino Cherry,9
Orange,9
Blended Whiskey,8
Egg White,8
Scotch,7
Benedictine,6
Creme De Cacao,6
Pineapple Juice,5
Club Soda,5
Water,5
Apricot Brandy,5
Nutmeg,5
Orange Bitters,5
Dark Rum,4
Orange Juice,4
Tequila,4
Port,4
Maraschino Liqueur,4
Pineapple,3
Olive,3
Sloe Gin,3
Mint,3
Ginger Ale,3
Blue Curacao,3
Kahlua,3
Angostura Bitters,2
Tabasco Sauce,2
Orange spiral,2
Orange Peel,2
Salt,2
Coca-Cola,2
Ice,2
Yellow Chartreuse,2
Tia Maria,2
Egg,2
Green Creme de Menthe,2
Wine,2
Heavy cream,2
Sweet and Sour,2
Sherry,2
Cherry Brandy,2
Apple Brandy,2
Tomato Juice,2
Champagne,2
Red Wine,2
Southern Comfort,1
Campari,1
Soda water,1
Tea,1
A̱ejo Rum,1
Lemonade,1
Worcestershire Sauce,1
Coffee Liqueur,1
Celery Salt,1
Banana,1
Grand Marnier,1
Applejack,1
Whipped Cream,1
Kummel,1
Lemon vodka,1
Blackberry Brandy,1
White Creme de Menthe,1
Cognac,1
Cachaca,1
Egg Yolk,1
Tonic Water,1
Sugar Syrup,1
Chocolate Ice-cream,1
Dubonnet Rouge,1
Irish Whiskey,1
Peach brandy,1
Galliano,1
Strawberries,1
Drambuie,1
Green Chartreuse,1
Grapefruit Juice,1
Orgeat Syrup,1
Raspberry syrup,1
Coffee Brandy,1
Lime vodka,1
Lemon-lime soda,1
